,School,Director of admissions,Application fee,Admissions phone,Admissions email,Application URL,Website,Virtual Tour URL,TOEFL and/or IELTS required for international students,Minimum TOEFL score required,Minimum IELTS score required,Acceptance rate (postbaccalaureate certificate),ApplicationsPostbaccalaureate,Percent of new entrants providing GPA scoresPostbaccalaureate,Average undergraduate GPAPostbaccalaureate,Percent of new entrants providing verbal GRE scoresPostbaccalaureate,Percent of new entrants providing quantitative GRE scoresPostbaccalaureate,Percent of new entrants providing writing GRE scoresPostbaccalaureate,Average GRE scorePostbaccalaureate,Average GRE analytical writing scorePostbaccalaureate,GRE policyPostbaccalaureate,Acceptance rate (master's),Applications(Master's),Percent of new entrants providing GPA scores(Master's),Average undergraduate GPA(Master's),Percent of new entrants providing verbal GRE scores(Master's),Percent of new entrants providing quantitative GRE scores(Master's),Percent of new entrants providing writing GRE scores(Master's),Average GRE score(Master's),Average GRE analytical writing score(Master's),GRE policy(Master's),Acceptance rate (education specialist),Enrollment,Applications(Education Specialist),Percent of new entrants providing GPA scores(Education Specialist),Average undergraduate GPA(Education Specialist),Percent of new entrants providing verbal GRE scores(Education Specialist),Percent of new entrants providing quantitative GRE scores(Education Specialist),Percent of new entrants providing writing GRE scores(Education Specialist),Average GRE score(Education Specialist),Average GRE analytical writing score(Education Specialist),GRE policy(Education Specialist),Degree programs offered,Categories of study offered to education specialist students,Any programs in education offered off campus,Offers online program in education,Certificate program graduates,Master's program graduates,Education specialist program graduates,Doctoral program graduates,Full-time faculty (tenured or tenure-track),Full-time faculty (nontenured or tenure track),Part-time faculty,Full-time faculty with doctoral degrees,Full-time tenured or tenure-track faculty who received awards or were editors of educational journals during 2020 and 2021,Total enrollment,Total enrollment (full-time),Minority students,International students,Student diversity (full-time),Financial aid director,Financial aid phone,"Tuition (postbaccalaureate, full-time)","Tuition (postbaccalaureate, part-time)","Tuition (master's, full-time)","Tuition (master's, part-time)","Tuition (education specialist, full-time)","Tuition (education specialist, part-time)","Tuition (doctoral, full-time)","Tuition (doctoral, part-time)",Room and board,Type of education school,Memberships,School accredited by the National Council for Accreditation of Teacher Education (NCATE),School accredited by the Teacher Education Accreditation Council (TEAC),School accredited by the Council for Accreditation of Education Preparation (CAEP),Initial teacher preparation levels offered,Total students in certificate-level teacher training programs,Total students in master's teacher training programs,Total students in education specialist degree teacher training programs,Total graduate students in teacher training programs,Number of certificate programs completed,Number of teacher training master's degrees awarded,Number of teacher training education specialist degrees awarded,Number of full-time tenured or tenure-track faculty involved in teacher training programs,Are professional development/partnership schools used in teaching programs?,Are students in internships or doing practice teaching assigned to peer working groups?,Are students in internship/practice teaching programs mentored?,Students who took an assessment to become a certified or licensed teacher during 2020-2021,Number of these students who passed the assessment,Number of 2021 graduates licensed to teach,Number of 2021 graduates who accepted teaching positions for fall 2021,Number of 2019 graduates licensed to teach,Number of 2019 graduates who accepted teaching positions for fall 2018,Number of these 2019 graduates who were still employed as teachers in fall 2021,Application deadlines,Advanced teacher preparation levels offered,"Of students reporting specialty information, percent specializing in",Programs/courses offered in,Categories of study offered to master's students,Gender distribution (full-time)
10,Northwestern University, Susan Olson, $95, (847) 467-2789, sesp@northwestern.edu, Website, Website, N/A, Yes,, 7, 87.8%, 41, 96%, 3.25, N/A, N/A, N/A, N/A, N/A, N/A, 48.1%, 509, 84%, 3.46, 17%, 17%, 17%,, 4.5, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, Ph.D.", N/A, No, No, 20, 88, N/A, 9, 41, 21, 98, 100%, 51.2%, 435, 239, N/A, N/A, N/A, Susan Olson, (847) 467-2789, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, School of education with undergraduate and graduate divisions, N/A, No, No, No," Four-year undergraduate program(s) (bachelor's), Five-year combined undergraduate/graduate program(s), Master's program(s)", 2, 72, N/A, 74, N/A, 24, N/A, 5," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 57, 56, 36, 29, 45, 36, N/A, N/A,,,,,
11,Arizona State University, Mr. Matt Lopez, $70, (480) 965-6113, gograd@asu.edu, Website, Website, Website, Yes,, 6.5, 95.4%, 482, 85%, 3.36, N/A, N/A, N/A, N/A, N/A, N/A, 92%," 2,106", 95%, 3.41, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, Ph.D., Ed.D.", N/A, Yes, Yes, 180," 1,902", N/A, 54, 78, 102, 502, 100%, 16.7%," 4,833", 926, N/A, N/A, N/A, Ms. Melissa Pizzo, (855) 278-5080,,,,, N/A, N/A,, N/A," $12,162", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education), TECSCU (Teacher Education Council of State Colleges and Universities), HACU (Hispanic Association of Colleges and Universities)", N/A, N/A, N/A," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Five-year combined undergraduate/graduate program(s), Master's program(s)", 24, 550, N/A, 574, 14, 207, N/A, 32," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 772, 615, 852, N/A, 728, 500, N/A,,,,,,
12,University of Washington, Martin Howell, $85, (206) 543-7834, edinfo@u.washington.edu, Website, Website, Website, Yes,, 7, 100%, 33, 100%, 3.51, 33%, 33%, 33%,, 4.6, N/A, 68.3%," 1,087", 82%, 3.49, 10%, 10%, 10%,, 4.2, N/A, 32%,, 128, 83%, 3.76, 22%, 22%, 22%,, 4.5, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ph.D., Ed.D.",, Yes, Yes, 0, 367, 11, 55, 53, 43, 47, 100%, 37.7%, 899, 743, N/A, N/A, N/A, Martin Howell, (206) 543-7834,,,,,, N/A,,," $29,319", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education)", N/A, N/A, N/A, Master's program(s), N/A, 285, N/A, 285, N/A, 192, N/A, 23," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", N/A, N/A, N/A, N/A, N/A, N/A, N/A,,,,,,
13,Johns Hopkins University, Elisabeth Woodward, $80, (877) 548-7631, soe-admissionsupport@jhu.edu, Website, Website, Website, Yes,, 7, 90.8%, 206, 100%, 3.43, 1%, 1%, 1%,, 5, N/A, 67.4%," 1,447", 100%, 3.45, 6%, 6%, 6%,, 3.3, N/A, N/A,, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Post-baccalaureate certificate, master's, Ph.D., Ed.D.", N/A, Yes, Yes, 177, 749, 0, 48, 22, 87, 206, 100%, 9.1%," 2,364", 734, N/A, N/A, N/A, Hysha Nesmith, (410) 516-9808, N/A, $875 per credit, $875 per credit, $875 per credit, N/A, N/A, N/A," $1,638 per credit"," $18,900", Graduate school of education, N/A, No, No, No," Post-baccalaureate, non-degree, Master's program(s)", 87," 1,157", 0," 1,244", 13, 529, 0, 3," Yes, used in some teaching programs"," Yes, in some teaching programs"," Yes, all students are mentored", 22, 22, 22, 18, 21, N/A, N/A, N/A,,,,,
14,University of Kansas, Kim Huggett, $65, (785) 864-4510, graduate@ku.edu, Website, Website, Website, Yes,, 5.5, 86.8%, 91, 89%, 3.45, 5%, 5%, 5%,, 4.7, N/A, 78.8%, 325, 94%, 3.41, 4%, 4%, 4%,, 4.1, N/A, 67.6%,, 34, 100%, 3.61, 45%, 45%, 45%,, 4.3, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ph.D., Ed.D.",, Yes, Yes, 61, 286, 2, 54, 60, 21, 72, 100%, 5%," 1,018", 450, N/A, N/A, N/A, Angela Karlin, (785) 864-4700,,,,,,,,, N/A, School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education), Holmes Partnership", Yes, No, Yes," Four-year undergraduate program(s) (bachelor's), Master's program(s)", 59, 255, 20, 334, 61, 160, 2, 39," Yes, used in some teaching programs"," Yes, in some teaching programs"," Yes, all students are mentored", 180, 179, 152, 117, 161, 131, N/A,,,,,,
15,University of Oregon, Hannah Schneider-Lynch, $70, (541) 346-5129, graduatestudies@uoregon.edu, Website, Website, Website, Yes,, 7, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 46.1%, 761, 99%, 3.48, 10%, 10%, 10%,, 4.3, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, Ph.D., Ed.D.", N/A, No, Yes, 6, 226, N/A, 52, 48, 74, 183, 100%, 8.3%, 514, 450, N/A, N/A, N/A, Jim Brooks, (541) 346-3221, N/A,,,, N/A, N/A,,," $12,696", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education)", N/A, N/A, N/A, Master's program(s), 1, 159, N/A, 160, N/A, 115, N/A, 20," Yes, used in some teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", N/A, N/A, 114, N/A, 112, N/A, N/A, N/A,,,,,
16,University of Virginia," Catherine Brighton, Ph.D.", $85, (434) 924-0742, ehd-information@virginia.edu, Website, Website, Website, Yes,, 7, 54.5%, 22, 91%, 3.12, 9%, 9%, 9%,, 5, N/A, 47.3%, 545, 100%, 3.38, 22%, 22%, 22%,, 4, N/A, 64.3%,, 14, 100%, 3.59, 11%, 11%, 11%,, 4.5, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ph.D., Ed.D.",, Yes, Yes, 29, 430, 4, 30, 70, 66, 128, 100%, 8.6%," 1,298", 542, N/A, N/A, N/A, Christopher Peper, (434) 924-0735, N/A, $585 per credit, N/A, N/A, N/A, N/A, N/A, N/A, N/A, School of education with undergraduate and graduate divisions, AACTE (American Associate of Colleges for Teacher Education), N/A, Yes, N/A," Four-year undergraduate program(s) (bachelor's), Five-year combined undergraduate/graduate program(s), Master's program(s)", 0, 201, 0, 201, 0, 159, 0, 30," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 143, 143, 143, 139, 158, 153, 145,,,,,,
17,University of Texas--Austin, Miguel Wasielewski, $65, (512) 475-6210, miguelw@austin.utexas.edu, Website, Website, N/A, Yes,, 6.5, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 51.2%, 822, 90%, 3.54, 38%, 38%, 38%,, 4, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, master's, Ph.D., Ed.D.", N/A, No, No, N/A, 215, N/A, 76, 104, 57, 40, 100%, 9.6%, 829, 629, N/A, N/A, N/A, Diane Todd Sprague, (512) 475-6203, N/A, N/A,,, N/A, N/A,,," $15,392", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), HACU (Hispanic Association of Colleges and Universities)", N/A, N/A, N/A," Four-year undergraduate program(s) (bachelor's), Master's program(s)", N/A, 19, N/A, 19, N/A, 12, N/A, 30," Yes, used in all teaching programs"," Yes, in some teaching programs"," Yes, all students are mentored", 376, 367, 272, N/A, 309, 251, N/A, N/A,,,,,
18,Boston College (Lynch), Katharine Nelson, $75, (617) 552-4214, gsoe@bc.edu, Website, Website, Website, Yes,, 7, 16.7%, 12, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 41.7%," 2,692", 94%, 3.5, 11%, 11%, 11%,, 4.2, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, Ph.D., Ed.D.", N/A, No, Yes, 1, 290, N/A, 23, 57, 13, 64, 100%, 19.3%, 927, 495, N/A, N/A, N/A, Marsia Hill-Kreaime, (617) 552-3300, N/A, N/A," $1,538 per credit"," $1,538 per credit", N/A, N/A," $1,538 per credit"," $1,538 per credit", N/A, School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education), Holmes Partnership", N/A, N/A, Yes," Four-year undergraduate program(s) (bachelor's), Five-year combined undergraduate/graduate program(s), Master's program(s)", N/A, 126, N/A, 126, N/A, 69, N/A, 18," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", N/A, N/A, N/A, N/A, N/A, N/A, N/A,,,,,,
19,University of Minnesota--Twin Cities, Dean Tsantir, $75, (612) 625-3014, gsquest@umn.edu, Website, Website, N/A, Yes,, 6.5, 86.5%, 408, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 63.3%, 918, 51%, 3.53, 50%, 50%, 50%,, 4.4, N/A, 28.3%,, 46, 100%, 3.76, 100%, 100%, 100%,, 6, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ph.D., Ed.D.",, Yes, Yes, 291, 650, 3, 93, 120, 0, 31, 100%, 6.7%," 1,835"," 1,412", N/A, N/A, N/A, Tina Falkner, (612) 624-1111,,,,, N/A,,,," $15,822", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education), Holmes Partnership", N/A, N/A, N/A," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Five-year combined undergraduate/graduate program(s), Master's program(s)", 377, 76, 3, 456, 291, 315, 3, 30," Yes, used in some teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 386, 358, 300, N/A, 311, 274, N/A, N/A,,,,,
