,School,Director of admissions,Application deadline (master's),Application deadline (PhD),Application fee (U.S. residents),Application fee (international students),Admissions phone,Admissions email,Application URL,Website,Virtual Tour URL,Acceptance rate (master's),Acceptance rate (Ph.D.),Percent of new entrants providing GPA scores(Master's),Average undergraduate GPA(Master's),Percent of new entrants providing verbal GRE scores(Master's),Percent of new entrants providing quantitative GRE scores(Master's),Average GRE analytical writing score(Master's),Percent of new entrants providing GPA scores(Doctoral),Average undergraduate GPA(Doctoral),Percent of new entrants providing verbal GRE scores(Doctoral),Percent of new entrants providing quantitative GRE scores(Doctoral),Average GRE analytical writing score(Doctoral),TOEFL and/or IELTS required for international students,Minimum TOEFL score required,Minimum IELTS score required,Total graduate engineering enrollment,Enrollment (full-time master's),Enrollment (part-time master's),Enrollment (full-time Ph.D.),Enrollment (part-time Ph.D.),Total graduates,Total master's graduates,International master's graduates,Minority master's graduates,Female master's graduates,Total Ph.D. graduates,International Ph.D. graduates,Minority Ph.D. graduates,Female Ph.D. graduates,Full-time faculty (tenured or tenure-track),Full-time faculty (nontenured or nontenure track),Part-time faculty,Full-time faculty elected to the National Academy of Engineering,Total graduate engineering enrollment(Student Body),Enrollment (master's),Minority students (master's),International students (master's),Enrollment (Ph.D.),Minority students (Ph.D.),International students (Ph.D.),Financial aid director,Financial aid phone,"Tuition (master's, full-time)","Tuition (master's, part-time)","Tuition (doctoral, full-time)","Tuition (doctoral, part-time)",Room and board,Score,Peer assessment score (out of 5),Recruiter assessment score (out of 5),Overall acceptance rate,Average GRE quantitative score (master's and Ph.D. students),Ph.D. student/faculty ratio,Ph.D.s granted,Engineering school research expenditures (2021 fiscal year),Research expenditures per faculty member (2021 fiscal year),Faculty membership in National Academy of Engineering,Total graduate engineering enrollment(Ranking),Mean TOEFL score of entering students,Average GRE score(Master's),Average GRE score(Doctoral),Student diversity (master's),Student diversity (Ph.D.),Countries most represented by international students(Student Body),Applicants (master's),Applicants (Ph.D.),Gender distribution of enrolled (master's),Gender distribution of enrolled (Ph.D.)
10,University of California--San Diego (Jacobs), April Bjornsen, N/A, N/A, $120, $140, (858) 534-3554, gradadmissions@ucsd.edu, Website, Website, Website, 38.7%, 16%, 70%, 3.6, 55%, 55%, 3.8, 75%, 3.56, 38%, 38%, 4.2, Yes,, 7," 3,310"," 1,822", 79," 1,409", 0," 1,374"," 1,183", 64.8%, 18.7%, 24.3%, 191, 62.3%, 17.3%, 22.5%, 235, 43, 13, 28," 3,310"," 1,822", 22.7%, 63.5%," 1,409", 19.3%, 58.1%, Rosario Castaneda, (858) 534-4480,,,, N/A," $13,824", 74, 3.9, 4, 31.8%, 167, 6:1, 191," $218,691,896"," $938,592", 11.9%," 3,310", N/A,,,,,,,,,
11,University of Illinois--Urbana-Champaign, Elizabeth Spark, N/A, N/A, $70, $90, (217) 244-4637, grad@illinois.edu, Website, Website, N/A, 36.4%, 25.2%, N/A, N/A, 34%, 34%, 3.8, N/A, N/A, 42%, 42%, 4, Yes,, 7.5," 5,480"," 1,329"," 1,640"," 2,440", 71," 1,526"," 1,211", 54.7%, 21.3%, 24.4%, 315, 61.9%, 20%, 25.7%, 466, 81, 3, 16," 5,480"," 1,329", 18.7%, 62.8%," 2,440", 14.3%, 65.7%, Michelle Trame, (217) 333-7542,, N/A,, N/A," $13,314", 74, 4.5, 4.3, 32.7%, 167, 5.2:1, 315," $237,560,687"," $511,984", 3.4%," 5,480", N/A,,,,,,,,,
12,Columbia University (Fu Foundation), Jenny Mak, 02/15, 12/15, $85, $85, (212) 854-9367, seasgradmit@columbia.edu, Website, Website, Website, 23.4%, 8.3%, 99%, 3.62, 56%, 56%, 3.8, 98%, 3.73, 34%, 34%, 4.2, Yes,, 6.5," 5,049"," 2,988"," 1,125", 911, 25," 1,907"," 1,766", 80.1%, 2.4%, 39%, 141, 57.4%, 2.8%, 19.1%, 190, 10, 26, 22," 5,049"," 2,988", 7.9%, 86%, 911, 19.5%, 54.4%, Jenny Mak, (212) 854-6438," $54,528 per year"," $2,272 per credit"," $50,496 per year"," $27,264 per year"," $23,881", 71, 3.9, 4, 20.6%, 168, 4.8:1, 141," $174,426,203"," $927,799", 11.6%," 5,049",,,,,,,,,,
13,Cornell University, Jason Kahabka, N/A, N/A, $105, $105, (607) 255-0880, engr_grad@cornell.edu, Website, Website, N/A, 31.9%, 12.2%, N/A, N/A, 50%, 50%, 3.8, N/A, N/A, 75%, 75%, 3.9, Yes,, 7," 2,402", 999, 213," 1,190", N/A," 1,160", 996, 50.9%, 26.6%, 35.5%, 164, 48.8%, 19.5%, 32.3%, 217, N/A, 63, 25," 2,402", 999, 22.2%, 60.8%," 1,190", 18.4%, 54.3%, Mariah McNamara, (607) 255-5820," $29,500 per year"," $2,512 per credit"," $29,500 per year", N/A," $19,354", 71, 4.2, 4.2, 24.6%, 168, 5.5:1, 164," $154,620,521"," $706,030", 11.5%," 2,402", N/A,,,,,,,,,
14,University of Southern California (Viterbi), Tawfiq Wolff, 01/15, 12/15, $90, $90, (213) 740-4488, viterbi.gradadmission@usc.edu, Website, Website, Website, 28.2%, 16.8%, 100%, 3.6, 63%, 63%, 3.6, 100%, 3.6, 59%, 59%, 3.7, Yes, N/A, N/A," 6,304"," 3,507"," 1,696"," 1,065", 36," 2,761"," 2,623", 79.3%, 10.8%, 31.5%, 138, 63.8%, 15.2%, 24.6%, 189, 100, 143, 17," 6,304"," 3,507", N/A, N/A," 1,065", N/A, N/A, Paul Dieken, (213) 740-4444," $2,199 per credit"," $2,199 per credit"," $2,199 per credit"," $2,199 per credit"," $12,375", 70, 3.6, 3.7, 26.8%, 166, 5.6:1, 138," $213,716,073"," $1,130,773", 9%," 6,304", N/A,,, N/A, N/A, N/A,,,,
15,Johns Hopkins University (Whiting), Lauren McGhee, N/A, N/A, $75, $75, N/A, WSEGrad-Admissions@jhu.edu, Website, Website, Website, 41.6%, 16.6%, 87%, 3.54, 48%, 48%, 3.6, 90%, 3.64, 49%, 49%, 4.1, Yes,, 7," 2,385"," 1,206", N/A," 1,172", 7, 770, 645, 66.5%, 19.5%, 33.5%, 125, 52%, 17.6%, 32%, 232, 185, 141, 8," 2,385"," 1,206", 14.9%, 74%," 1,172", 19.7%, 52%, Thomas McDermott, (410) 516-8028," $58,720 per year", N/A," $58,720 per year"," $1,957 per credit"," $16,946", 67, 4.0, 4.1, 33.2%, 167, 5.1:1, 125," $199,931,041"," $900,590", 3.4%," 2,385",,,,,,,,,,
16,University of California--Los Angeles (Samueli), Richard D. Wesel, 11/30, 11/30, $120, $140, (310) 825-2514, gradadm@seas.ucla.edu, Website, Website, Website, 29.8%, 20.1%, 77%, 3.61, 58%, 58%, 3.8, 65%, 3.66, 61%, 61%, 3.9, Yes,, 7," 2,503"," 1,386", N/A," 1,117", N/A, 795, 632, 44%, 33.7%, 22.9%, 163, 73%, 10.4%, 18.4%, 191, 2, 19, 33," 2,503"," 1,386", 35.2%, 41.3%," 1,117", 18.6%, 66.2%, Ina Sotomayor, (310) 206-0400,, N/A,, N/A," $21,663", 67, 4.0, 3.9, 27.1%, 166, 5.8:1, 163," $99,658,703"," $532,934", 17.3%," 2,503",,,,,,,,,,
17,Northwestern University (McCormick), Nicholas Alena, N/A, N/A, $95, $95, (847) 491-3421, n-alena@northwestern.edu, Website, Website, N/A, 27.5%, 18%, 82%, 3.55, 53%, 53%, 3.5, 91%, 3.71, 29%, 29%, 4, Yes,, 7," 2,259"," 1,062", 163," 1,016", 18, 922, 778, 57.3%, 17.4%, 36.4%, 144, 51.4%, 16%, 31.9%, 201, 0, 0, 16," 2,259"," 1,062", 16.3%, 62.3%," 1,016", 21.9%, 47%, Laura Soria, (847) 467-6026," $60,060 per year"," $7,123 per credit"," $56,067 per year"," $7,123 per credit"," $20,000", 65, 3.9, 4.1, 25%, 167, 5.1:1, 144," $147,490,425"," $712,514", 8%," 2,259", N/A,,,,,,,,,
18,University of Pennsylvania, Christina Burton, N/A, 12/15, $90, $90, (215) 898-4542, gradstud@seas.upenn.edu, Website, Website, N/A, 25.4%, 11.9%, 84%, 3.69, 51%, 51%, 3.9, 76%, 3.69, 39%, 39%, 4.2, Yes,, 7.5," 2,449"," 1,648", 0, 801, 0, 820, 745, 61.2%, 19.1%, 35.3%, 75, 50.7%, 14.7%, 34.7%, 128, 35, 0, 12," 2,449"," 1,648", 15.5%, 68.8%, 801, 21.3%, 47.3%, Elaine Papas Varas, (215) 898-1988," $43,968 per year", N/A," $38,732 per year", N/A," $19,332", 65, 3.7, 4, 22%, 167, 6.3:1, 75," $111,203,474"," $868,777", 9.4%," 2,449",,,,,,,,,,
19,Princeton University, Michelle Carman, N/A, N/A, $75, $75, (609) 258-3034, gs@princeton.edu, Website, Website, N/A, 8.2%, 13.3%, 96%, 3.58, 100%, 100%, 5, 93%, 3.76, 100%, 100%, 4.3, Yes, N/A, N/A, 803, 92, N/A, 711, N/A, 87, 13, 15.4%, 30.8%, 30.8%, 74, 66.2%, 4.1%, 27%, 163, 14, 6, 19, 803, 92, 38%, 23.9%, 711, 18.8%, 55.8%, Mary Bechler, (609) 258-7510, N/A, N/A," $56,010 per year", N/A," $19,029", 61, 4.0, 4.2, 11.6%, 169, 4.4:1, 74," $74,956,778"," $486,732", 11.7%, 803, N/A,,,,,,,,,
20,Harvard University, Julie Holbrook, 12/01, 12/15, $105, $105, (617) 495-2747, holbrook@seas.harvard.edu, Website, Website, Website, 7.2%, 5.9%, 84%, 3.8, N/A, N/A, N/A, 73%, 3.8, N/A, N/A, N/A, Yes,, 6.5, 698, 229, 3, 466, 0, 168, 117, 52.1%, 10.3%, 46.2%, 51, 47.1%, 2%, 25.5%, 91, 10, 49, 14, 698, 229, 24.5%, 48.9%, 466, 19.7%, 48.5%, N/A, N/A," $58,224 per year"," $29,112 per year"," $50,928 per year", N/A," $23,700", 60, 3.6, 4, 6.6%, N/A, 5.1:1, 51," $61,535,668"," $691,412", 15.4%, 698,, N/A, N/A,,,,,,,
21,University of Maryland--College Park (Clark), Graduate School Admissions, N/A, N/A, $75, $75, (301) 405-0376, gradschool@umd.edu, Website, Website, Website, 40.6%, 20.8%, 11%, 3.4, 44%, 44%, 3.7, 18%, 3.51, 76%, 76%, 4, Yes,, 7," 1,889", 381, 331," 1,107", 70, 638, 495, 54.3%, 23.2%, 26.5%, 143, 56.6%, 9.8%, 29.4%, 262, 328, 113, 15," 1,889", 381, 17.8%, 59.3%," 1,107", 14.1%, 58.4%, Office of Student Financial Aid, (301) 314-9000,,,,," $14,586", 60, 3.7, 3.8, 31.7%, 165, 4.2:1, 143," $187,392,493"," $712,519", 5.7%," 1,889",,,,,,,,,,
22,University of Colorado--Boulder, Clark Brigger, 12/01, 12/01, $60, $80, (303) 492-6301, apply@colorado.edu, Website, Website, N/A, 63.9%, 22.1%, 61%, 3.55, 43%, 43%, 3.8, 90%, 3.75, 33%, 33%, 4.3, Yes,, 6.5," 2,458"," 1,052", 380, 991, 35, 745, 604, 35.1%, 7%, 28.6%, 141, 36.2%, 8.5%, 31.9%, 166, 90, 64, 10," 2,458"," 1,052", 17.7%, 37%, 991, 15.6%, 30.4%, Ofelia Morales, (303) 492-5091,, N/A,, N/A," $15,012", 59, 3.5, 3.7, 47.9%, 163, 6:1, 141," $159,805,717"," $859,171", 6%," 2,458",,,,,,,,,,
23,Duke University (Pratt), Nicholas Alena, 02/01, 01/04, $95, $95, (919) 684-3913, grad-admissions@duke.edu, Website, Website, Website, 44.7%, 14.9%, 100%, 3.6, 65%, 65%, 3.7, 100%, 3.6, 63%, 63%, 4, Yes,, 7," 1,687", 902, 98, 687, 0, 535, 440, 71.8%, 4.8%, 37.3%, 95, 55.8%, 4.2%, 23.2%, 156, 64, 44, 6," 1,687", 902, 11.3%, 77.9%, 687, 18.8%, 50.4%, Daniel Heflin, (919) 681-3247," $57,900 per year"," $3,360 per year"," $57,900 per credit", N/A," $18,564", 58, 3.7, 3.9, 36.5%, 167, 4.4:1, 95," $136,944,858"," $925,303", 3.8%," 1,687",,,,,,,,,,
24,University of Washington, Nichole Fernkes, N/A, N/A, $85, $85, (206) 685-2630, uwgrad@uw.edu, Website, Website, Website, 54.9%, 10.9%, 99%, 3.54, 25%, 25%, 3.8, 100%, 3.77, 39%, 39%, 4.1, Yes,, N/A," 2,873", 790, 971," 1,043", 69," 1,064", 905, 39%, 8%, 34.4%, 159, 54.7%, 2.5%, 22%, 291, 35, 98, 11," 2,873", 790, 20.4%, 53.7%," 1,043", 18.9%, 45.8%, Kay Lewis, (206) 543-6101,,,,," $18,402", 58, 3.7, 3.8, 31.5%, 164, 3.6:1, 159," $172,521,900"," $609,618", 3.8%," 2,873",,,,,,,,,,
25,North Carolina State University, Lindsay Gentile, 06/25, 06/25, $75, $85, (919) 515-2872, graduate-school@ncsu.edu, Website, Website, N/A, 39.9%, 37.3%, 74%, 3.6, 69%, 69%, 3.7, 63%, 3.8, 43%, 43%, 3.7, Yes,, 6.5," 3,227"," 1,493", 399," 1,289", 46," 1,278"," 1,078", 63.5%, 8.3%, 24.9%, 200, 60%, 9.5%, 26.5%, 369, 72, 36, 19," 3,227"," 1,493", 12.3%, 59.5%," 1,289", 9.9%, 57.1%, Krista Domnick, (919) 515-2334,,,,," $13,899", 57, 3.5, 3.7, 39.3%, 164, 3.5:1, 200," $200,030,835"," $530,586", 5.1%," 3,227",,,,,,,,,,
26,Rice University (Brown), N/A, N/A, N/A, $85, $85, (713) 348-4002, graduate@rice.edu, Website, Website, N/A, 51.9%, 14%, 98%, 3.51, 54%, 54%, 3.4, 91%, 3.61, 54%, 54%, 3.9, Yes,, 7," 1,363", 529, 100, 729, 5, 369, 260, 71.9%, 3.8%, 35.4%, 109, 56.9%, 3.7%, 33%, 139, 49, 40, 8," 1,363", 529, 11%, 80.2%, 729, 16.6%, 59.5%, Anne Walker, (713) 348-4958," $52,070 per year"," $2,893 per credit"," $52,070 per year"," $2,893 per credit", N/A, 56, 3.7, 4, 34.1%, 167, 5.2:1, 109," $81,553,892"," $586,719", 5.8%," 1,363",,,,,,,,,,
27,University of California--Santa Barbara, Walter Boggan, 12/10, 12/10, $120, $140, (805) 893-2277, gradadmissions@graddiv.ucsb.edu, Website, Website, N/A, 19%, 20.1%, 100%, 3.53, N/A, N/A, N/A, 97%, 3.67, N/A, N/A, N/A, Yes,, 7, 750, 135, N/A, 615, N/A, 189, 111, 49.5%, 21.6%, 28.8%, 78, 57.7%, 12.8%, 29.5%, 148, 8, 5, 15, 750, 135, 28.1%, 48.1%, 615, 17.6%, 46.7%, Saul Quiroz, (805) 893-2432,, N/A,, N/A," $14,019", 56, 3.6, 3.7, 19.5%, N/A, 4.2:1, 78," $107,786,233"," $743,353", 10.1%, 750,, N/A, N/A,,,,,,,
28,University of Wisconsin--Madison, Judy Bauman, N/A, N/A, $75, $81, (608) 262-2433, admissions@grad.wisc.edu, Website, Website, N/A, 38.2%, 22.3%, 100%, 3.44, 40%, 40%, 3.9, 99%, 3.6, 40%, 40%, 3.9, Yes,, 7," 2,039", 616, 406, 918, 99, 642, 502, 47%, 11%, 27.5%, 140, 49.3%, 8.6%, 19.3%, 264, 66, 0, 2," 2,039", 616, 8.3%, 57.3%, 918, 13.5%, 55.4%, Helen Faith, (608) 262-3060,,,,," $14,122", 55, 3.9, 4, 31.9%, 166, 3.5:1, 140," $129,347,000"," $489,951", 0.8%," 2,039",,,,,,,,,,
29,Ohio State University, Richard Chappell, N/A, N/A, $60, $70, (614) 292-9444, gpadmissions@osu.edu, Website, Website, Website, 45%, 45.2%, 65%, 3.52, 29%, 29%, 3.8, 46%, 3.6, 38%, 38%, 3.7, Yes,, 7," 1,723", 477, 214, 989, 43, 605, 429, 54.8%, 8.9%, 26.8%, 176, 66.5%, 6.3%, 25.6%, 268, 59, 34, 8," 1,723", 477, 13.2%, 41.7%, 989, 11.1%, 61.7%," Amy Wheeler, Executive Director", (614) 292-0300,,,,," $12,168", 53, 3.7, 3.8, 45.1%, 162, 3.7:1, 176," $133,655,206"," $480,774", 3%," 1,723",,,,,,,,,,
30,Virginia Tech, Janice Austin, 08/01, 08/01, $75, $75, (540) 231-6691, grads@vt.edu, Website, Website, Website, 73.8%, 46.4%, 42%, 3.51, 57%, 57%, N/A, 40%, 3.55, 22%, 22%, N/A, Yes,, 6.5," 2,669"," 1,027", 289," 1,243", 110, 685, 479, 52.2%, 5.8%, 25.9%, 206, 62.6%, 5.3%, 27.2%, 388, 83, 31, 4," 2,669"," 1,027", 14.6%, 55.4%," 1,243", 9.9%, 65%, Beth Armstrong, (540) 231-5179,,,,," $12,260", 53, 3.8, 4, 64.4%, 163, 3.2:1, 206," $132,265,100"," $340,013", 1%," 2,669",,,,,,,,,,
31,Pennsylvania State University--University Park, Lori Anne Hawn, N/A, N/A, $65, $65, (814) 865-1795, gswww@psu.edu, Website, Website, N/A, 34.8%, 32.6%, 79%, 3.48, 51%, 51%, 3.6, 52%, 3.61, 45%, 45%, 3.7, Yes,, 6.5," 2,430", 572, 336," 1,504", 18, 575, 391, 43.5%, 10%, 21.2%, 184, 64.7%, 3.8%, 24.5%, 413, 266, 41, 4," 2,430", 572, 11.5%, 47.6%," 1,504", 9.3%, 63.2%, Department Specific, (814) 865-6301,,,,," $14,808", 52, 3.7, 3.9, 33.8%, 164, 3.6:1, 184," $128,190,351"," $324,533", 1%," 2,430",,,,,,,,,,
32,New York University (Tandon), Elizabeth Ensweiler, 02/15, 12/15, $90, $90, (646) 997-3200, engineering.gradinfo@nyu.edu, Website, Website, Website, 32.3%, 13.2%, 93%, 3.5, 45%, 45%, 3.5, 96%, 3.7, 46%, 46%, 3.7, Yes,, 7," 4,576"," 2,849"," 1,314", 366, 47," 1,309"," 1,252", 82.7%, 3.4%, 30.3%, 57, 77.2%, 3.5%, 21.1%, 88, 47, 95, 12," 4,576"," 2,849", 8.3%, 87.5%, 366, 8.2%, 77%, Pamela Martinetti, (646) 997-3182," $2,021 per credit"," $2,021 per credit"," $2,021 per credit"," $2,021 per credit"," $27,420", 51, 2.8, 3.2, 30.3%, 165, 4.2:1, 57," $56,253,351"," $639,243", 13.6%," 4,576",,,,,,,,,,
