School,Total graduate engineering enrollment,Enrollment (full-time master's),Enrollment (part-time master's),Enrollment (full-time Ph.D.),Enrollment (part-time Ph.D.),Score,Peer assessment score (out of 5),Recruiter assessment score (out of 5),Overall acceptance rate,Average GRE quantitative score (master's and Ph.D. students),Ph.D. student/faculty ratio,Ph.D.s granted,Engineering school research expenditures (2021 fiscal year),Research expenditures per faculty member (2021 fiscal year),Faculty membership in National Academy of Engineering,Total graduate engineering enrollment(Ranking),Acceptance rate (master's),Acceptance rate (Ph.D.),Percent of new entrants providing GPA scores(Master's),Average undergraduate GPA(Master's),Percent of new entrants providing verbal GRE scores(Master's),Percent of new entrants providing quantitative GRE scores(Master's),Average GRE analytical writing score(Master's),TOEFL and/or IELTS required for international students,Minimum TOEFL score required,Minimum IELTS score required,Total graduates,Total master's graduates,International master's graduates,Minority master's graduates,Female master's graduates,Total Ph.D. graduates,International Ph.D. graduates,Minority Ph.D. graduates,Female Ph.D. graduates
University of California--San Diego (Jacobs)," 3,310"," 1,822", 79," 1,409", 0, 74, 3.9, 4, 31.8%, 167, 6:1, 191," $218,691,896"," $938,592", 11.9%," 3,310", 38.7%, 16%, 70%, 3.6, 55%, 55%, 3.8, Yes,, 7," 1,374"," 1,183", 64.8%, 18.7%, 24.3%, 191, 62.3%, 17.3%, 22.5%
University of Illinois--Urbana-Champaign," 5,480"," 1,329"," 1,640"," 2,440", 71, 74, 4.5, 4.3, 32.7%, 167, 5.2:1, 315," $237,560,687"," $511,984", 3.4%," 5,480", 36.4%, 25.2%, N/A, N/A, 34%, 34%, 3.8, Yes,, 7.5," 1,526"," 1,211", 54.7%, 21.3%, 24.4%, 315, 61.9%, 20%, 25.7%
Columbia University (Fu Foundation)," 5,049"," 2,988"," 1,125", 911, 25, 71, 3.9, 4, 20.6%, 168, 4.8:1, 141," $174,426,203"," $927,799", 11.6%," 5,049", 23.4%, 8.3%, 99%, 3.62, 56%, 56%, 3.8, Yes,, 6.5," 1,907"," 1,766", 80.1%, 2.4%, 39%, 141, 57.4%, 2.8%, 19.1%
Cornell University," 2,402", 999, 213," 1,190", N/A, 71, 4.2, 4.2, 24.6%, 168, 5.5:1, 164," $154,620,521"," $706,030", 11.5%," 2,402", 31.9%, 12.2%, N/A, N/A, 50%, 50%, 3.8, Yes,, 7," 1,160", 996, 50.9%, 26.6%, 35.5%, 164, 48.8%, 19.5%, 32.3%
University of Southern California (Viterbi)," 6,304"," 3,507"," 1,696"," 1,065", 36, 70, 3.6, 3.7, 26.8%, 166, 5.6:1, 138," $213,716,073"," $1,130,773", 9%," 6,304", 28.2%, 16.8%, 100%, 3.6, 63%, 63%, 3.6, Yes, N/A, N/A," 2,761"," 2,623", 79.3%, 10.8%, 31.5%, 138, 63.8%, 15.2%, 24.6%
Johns Hopkins University (Whiting)," 2,385"," 1,206", N/A," 1,172", 7, 67, 4.0, 4.1, 33.2%, 167, 5.1:1, 125," $199,931,041"," $900,590", 3.4%," 2,385", 41.6%, 16.6%, 87%, 3.54, 48%, 48%, 3.6, Yes,, 7, 770, 645, 66.5%, 19.5%, 33.5%, 125, 52%, 17.6%, 32%
University of California--Los Angeles (Samueli)," 2,503"," 1,386", N/A," 1,117", N/A, 67, 4.0, 3.9, 27.1%, 166, 5.8:1, 163," $99,658,703"," $532,934", 17.3%," 2,503", 29.8%, 20.1%, 77%, 3.61, 58%, 58%, 3.8, Yes,, 7, 795, 632, 44%, 33.7%, 22.9%, 163, 73%, 10.4%, 18.4%
Northwestern University (McCormick)," 2,259"," 1,062", 163," 1,016", 18, 65, 3.9, 4.1, 25%, 167, 5.1:1, 144," $147,490,425"," $712,514", 8%," 2,259", 27.5%, 18%, 82%, 3.55, 53%, 53%, 3.5, Yes,, 7, 922, 778, 57.3%, 17.4%, 36.4%, 144, 51.4%, 16%, 31.9%
University of Pennsylvania," 2,449"," 1,648", 0, 801, 0, 65, 3.7, 4, 22%, 167, 6.3:1, 75," $111,203,474"," $868,777", 9.4%," 2,449", 25.4%, 11.9%, 84%, 3.69, 51%, 51%, 3.9, Yes,, 7.5, 820, 745, 61.2%, 19.1%, 35.3%, 75, 50.7%, 14.7%, 34.7%
Princeton University, 803, 92, N/A, 711, N/A, 61, 4.0, 4.2, 11.6%, 169, 4.4:1, 74," $74,956,778"," $486,732", 11.7%, 803, 8.2%, 13.3%, 96%, 3.58, 100%, 100%, 5, Yes, N/A, N/A, 87, 13, 15.4%, 30.8%, 30.8%, 74, 66.2%, 4.1%, 27%
Harvard University, 698, 229, 3, 466, 0, 60, 3.6, 4, 6.6%, N/A, 5.1:1, 51," $61,535,668"," $691,412", 15.4%, 698, 7.2%, 5.9%, 84%, 3.8, N/A, N/A, N/A, Yes,, 6.5, 168, 117, 52.1%, 10.3%, 46.2%, 51, 47.1%, 2%, 25.5%
University of Maryland--College Park (Clark)," 1,889", 381, 331," 1,107", 70, 60, 3.7, 3.8, 31.7%, 165, 4.2:1, 143," $187,392,493"," $712,519", 5.7%," 1,889", 40.6%, 20.8%, 11%, 3.4, 44%, 44%, 3.7, Yes,, 7, 638, 495, 54.3%, 23.2%, 26.5%, 143, 56.6%, 9.8%, 29.4%
University of Colorado--Boulder," 2,458"," 1,052", 380, 991, 35, 59, 3.5, 3.7, 47.9%, 163, 6:1, 141," $159,805,717"," $859,171", 6%," 2,458", 63.9%, 22.1%, 61%, 3.55, 43%, 43%, 3.8, Yes,, 6.5, 745, 604, 35.1%, 7%, 28.6%, 141, 36.2%, 8.5%, 31.9%
Duke University (Pratt)," 1,687", 902, 98, 687, 0, 58, 3.7, 3.9, 36.5%, 167, 4.4:1, 95," $136,944,858"," $925,303", 3.8%," 1,687", 44.7%, 14.9%, 100%, 3.6, 65%, 65%, 3.7, Yes,, 7, 535, 440, 71.8%, 4.8%, 37.3%, 95, 55.8%, 4.2%, 23.2%
University of Washington," 2,873", 790, 971," 1,043", 69, 58, 3.7, 3.8, 31.5%, 164, 3.6:1, 159," $172,521,900"," $609,618", 3.8%," 2,873", 54.9%, 10.9%, 99%, 3.54, 25%, 25%, 3.8, Yes,, N/A," 1,064", 905, 39%, 8%, 34.4%, 159, 54.7%, 2.5%, 22%
North Carolina State University," 3,227"," 1,493", 399," 1,289", 46, 57, 3.5, 3.7, 39.3%, 164, 3.5:1, 200," $200,030,835"," $530,586", 5.1%," 3,227", 39.9%, 37.3%, 74%, 3.6, 69%, 69%, 3.7, Yes,, 6.5," 1,278"," 1,078", 63.5%, 8.3%, 24.9%, 200, 60%, 9.5%, 26.5%
Rice University (Brown)," 1,363", 529, 100, 729, 5, 56, 3.7, 4, 34.1%, 167, 5.2:1, 109," $81,553,892"," $586,719", 5.8%," 1,363", 51.9%, 14%, 98%, 3.51, 54%, 54%, 3.4, Yes,, 7, 369, 260, 71.9%, 3.8%, 35.4%, 109, 56.9%, 3.7%, 33%
University of California--Santa Barbara, 750, 135, N/A, 615, N/A, 56, 3.6, 3.7, 19.5%, N/A, 4.2:1, 78," $107,786,233"," $743,353", 10.1%, 750, 19%, 20.1%, 100%, 3.53, N/A, N/A, N/A, Yes,, 7, 189, 111, 49.5%, 21.6%, 28.8%, 78, 57.7%, 12.8%, 29.5%
University of Wisconsin--Madison," 2,039", 616, 406, 918, 99, 55, 3.9, 4, 31.9%, 166, 3.5:1, 140," $129,347,000"," $489,951", 0.8%," 2,039", 38.2%, 22.3%, 100%, 3.44, 40%, 40%, 3.9, Yes,, 7, 642, 502, 47%, 11%, 27.5%, 140, 49.3%, 8.6%, 19.3%
Ohio State University," 1,723", 477, 214, 989, 43, 53, 3.7, 3.8, 45.1%, 162, 3.7:1, 176," $133,655,206"," $480,774", 3%," 1,723", 45%, 45.2%, 65%, 3.52, 29%, 29%, 3.8, Yes,, 7, 605, 429, 54.8%, 8.9%, 26.8%, 176, 66.5%, 6.3%, 25.6%
Virginia Tech," 2,669"," 1,027", 289," 1,243", 110, 53, 3.8, 4, 64.4%, 163, 3.2:1, 206," $132,265,100"," $340,013", 1%," 2,669", 73.8%, 46.4%, 42%, 3.51, 57%, 57%, N/A, Yes,, 6.5, 685, 479, 52.2%, 5.8%, 25.9%, 206, 62.6%, 5.3%, 27.2%
Pennsylvania State University--University Park," 2,430", 572, 336," 1,504", 18, 52, 3.7, 3.9, 33.8%, 164, 3.6:1, 184," $128,190,351"," $324,533", 1%," 2,430", 34.8%, 32.6%, 79%, 3.48, 51%, 51%, 3.6, Yes,, 6.5, 575, 391, 43.5%, 10%, 21.2%, 184, 64.7%, 3.8%, 24.5%
New York University (Tandon)," 4,576"," 2,849"," 1,314", 366, 47, 51, 2.8, 3.2, 30.3%, 165, 4.2:1, 57," $56,253,351"," $639,243", 13.6%," 4,576", 32.3%, 13.2%, 93%, 3.5, 45%, 45%, 3.5, Yes,, 7," 1,309"," 1,252", 82.7%, 3.4%, 30.3%, 57, 77.2%, 3.5%, 21.1%
Northeastern University," 7,554"," 6,366", 268, 893, 27, 51, 3.2, 3.6, 51.9%, 162, 4.5:1, 115," $99,019,988"," $532,366", 0.5%," 7,554", 56.1%, 15.7%, 38%, 3.34, 30%, 30%, 3.2, Yes,, 6," 2,830"," 2,715", 80.8%, 6.9%, 33.1%, 115, 67%, 4.3%, 19.1%
Boston University," 1,434", 560, 177, 696, 1, 50, 3.1, 3.5, 40%, 165, 4.6:1, 78," $114,222,982"," $793,215", 5.3%," 1,434", 50.6%, 19.3%, 55%, 3.42, 48%, 48%, 3.7, Yes,, 6, 508, 430, 55.3%, 4%, 32.8%, 78, 47.4%, 3.8%, 37.2%
University of California--Davis," 1,372", 532, 56, 745, 39, 50, 3.5, 3.8, 36.6%, 164, 4.4:1, 89," $90,934,465"," $516,673", 3%," 1,372", 39.4%, 28.3%, 84%, 3.46, 34%, 34%, 3.7, Yes,, 7, 358, 269, 51.3%, 25.7%, 37.2%, 89, 49.4%, 20.2%, 28.1%
University of Virginia," 1,114", 186, 168, 760, 0, 49, 3.4, 3.7, 31.4%, 164, 4.9:1, 104," $90,034,530"," $559,221", 2.6%," 1,114", 36.1%, 25.6%, 96%, 3.42, 45%, 45%, 3.7, Yes, N/A, N/A, 318, 214, 50%, 16.4%, 32.7%, 104, 42.3%, 13.5%, 26%
University of California--Irvine (Samueli)," 1,797", 780, 65, 945, 7, 48, 3.4, 3.5, 34.5%, 165, 3.9:1, 127," $113,696,520"," $487,968", 2.9%," 1,797", 37%, 25.9%, 100%, 3.39, 53%, 53%, N/A, Yes,, 7, 622, 495, 54.5%, 21.6%, 30.3%, 127, 55.9%, 14.2%, 32.3%
Yale University, 477, 60, 4, 413, 0, 48, 3.4, 3.8, 20.8%, 167, 4.4:1, 51," $49,363,730"," $503,712", 5.3%, 477, 18.1%, 23.4%, 100%, 3.87, 98%, 98%, 4, Yes,, 7, 163, 112, 58.9%, 3.6%, 33.9%, 51, 51%, 3.9%, 23.5%
Arizona State University (Fulton)," 5,485"," 2,415"," 1,919", 873, 278, 47, 3.4, 3.4, 59.5%, 163, 2.8:1, 177," $125,336,783"," $404,312", 1.6%," 5,485", 59.6%, 58.2%, N/A, N/A, 53%, 53%, 3.4, Yes,, 6.5," 1,781"," 1,604", 67.2%, 13.7%, 23.2%, 177, 71.2%, 6.8%, 23.7%
University of Florida," 2,801"," 1,131", 664, 931, 75, 46, 3.5, 3.8, 51.5%, 163, 2.9:1, 180," $89,681,000"," $283,801", 0.6%," 2,801", 55.5%, 32.9%, 45%, 3.5, 44%, 44%, 3.5, Yes,, 6," 1,159", 979, 68%, 11.2%, 28.5%, 180, 57.8%, 11.7%, 25.6%
University of Minnesota--Twin Cities," 1,763", 601, 154, 889, 119, 46, 3.6, 3.7, 38.5%, 158, 3.7:1, 168," $96,919,159"," $407,223", 2.1%," 1,763", 41.7%, 33.3%, 57%, 3.48, 13%, 13%, 3.7, Yes,, 6.5, 605, 437, 44.4%, 11.7%, 22.7%, 168, 61.9%, 11.3%, 23.8%
Rensselaer Polytechnic Institute, 774, 174, 92, 505, 3, 45, 3.2, 4, 37.6%, 165, 3.9:1, 66," $56,701,000"," $402,135", 3.1%, 774, 36.4%, 38.4%, 100%, 3.42, 54%, 54%, 4.1, Yes,, 6.5, 284, 218, 22.5%, 9.2%, 24.3%, 66, 68.2%, 1.5%, 33.3%
Vanderbilt University, 575, 67, 10, 498, 0, 45, 3.3, 3.6, 30.3%, N/A, 4.6:1, 55," $69,552,512"," $675,267", 0.9%, 575, 46.1%, 21.4%, 100%, 3.37, N/A, N/A, N/A, Yes,, 7, 117, 62, 48.4%, 16.1%, 25.8%, 55, 47.3%, 7.3%, 20%
Case Western Reserve University, 750, 315, 30, 390, 15, 43, 3.2, 3.8, 48.2%, 166, 3.9:1, 67," $45,072,000"," $441,882", 2%, 750, 61.2%, 31.3%, 90%, 3.26, 58%, 58%, 3.3, Yes,, 7, 251, 184, 54.3%, 14.7%, 26.1%, 67, 61.2%, 6%, 28.4%
University of Delaware," 1,000", 181, 117, 689, 13, 43, 3.0, 3.3, 49.5%, 161, 4.6:1, 71," $92,939,742"," $645,415", 5.4%," 1,000", 58.8%, 43.3%, 71%, 3.2, 25%, 25%, 3.3, Yes,, 7, 222, 151, 44.4%, 15.2%, 23.2%, 71, 49.3%, 9.9%, 28.2%
University of Rochester (Hajim), 597, 164, 23, 400, 10, 43, 2.5, 3.4, 40.3%, 164, 4.3:1, 45," $109,449,860"," $1,152,104", 2.1%, 597, 55.6%, 19.1%, 96%, 3.4, 49%, 49%, 3.7, Yes,, 6.5, 236, 191, 50.3%, 14.1%, 26.7%, 45, 55.6%, 11.1%, 26.7%
Iowa State University," 1,280", 475, N/A, 805, N/A, 42, 3.2, 3.5, 23.7%, 161, 3.2:1, 116," $92,770,024"," $369,602", 0%," 1,280", 29.1%, 19.7%, 79%, 3.49, 22%, 22%, 3.8, Yes,, 6.5, 414, 298, 44.6%, 7%, 26.5%, 116, 67.2%, 1.7%, 28.4%
University of Dayton," 1,195", 900, 158, 137, N/A, 42, 2.3, 2.9, 28.7%, 152, 1.6:1, 14," $187,474,664"," $2,231,841", 0%," 1,195", 29.2%, 24.5%, 87%, 3.3, 9%, 9%, 4, Yes,, 6.5, 484, 470, 73.8%, 3.6%, 29.1%, 14, 50%, 21.4%, 28.6%
University of Notre Dame, 641, 36, 5, 595, 5, 42, 3.1, 3.7, 31%, 165, 4.2:1, 70," $63,878,061"," $469,692", 0.7%, 641, 23.4%, 32.6%, 78%, 3.44, 17%, 17%, N/A, Yes,, 7, 131, 61, 50.8%, 8.2%, 27.9%, 70, 52.9%, 10%, 22.9%
University of Pittsburgh (Swanson), 933, 205, 128, 574, 26, 42, 3.0, 3.3, 42.8%, 165, 3.6:1, 75," $101,006,353"," $664,515", 0%, 933, 50.2%, 32%, 100%, 3.41, 23%, 28%, 3.1, Yes,, 6.5, 284, 209, 51.7%, 9.6%, 23%, 75, 53.3%, 16%, 20%
Washington University in St. Louis," 1,540", 708, 281, 546, 5, 42, 3.2, 3.5, 61.1%, 167, 5.7:1, 62," $36,037,000"," $375,385", 1%," 1,540", 70.6%, 28.4%, 100%, 3.38, 31%, 31%, 3.3, Yes,, 6.5, 540, 478, 55.9%, 5.4%, 32.2%, 62, 66.1%, 1.6%, 29%
Brown University, 553, 286, 20, 245, 2, 40, 3.3, 3.6, 28.5%, 167, 2.7:1, 33," $28,107,012"," $319,398", 3.3%, 553, 37.3%, 10.4%, 54%, 3.6, 46%, 46%, 3.7, Yes,, 7, 194, 161, 60.2%, 17.4%, 34.2%, 33, 81.8%, 6.1%, 18.2%
Dartmouth College (Thayer), 332, 140, N/A, 192, N/A, 40, 3.0, 3.7, 19.6%, 165, 3:1, 27," $32,888,745"," $539,160", 3.1%, 332, 18%, 22.6%, 86%, 3.56, 35%, 35%, 4.4, Yes,, 7, 100, 73, 68.5%, 15.1%, 38.4%, 27, 59.3%, 11.1%, 22.2%
Colorado School of Mines," 1,452", 592, 216, 562, 82, 39, 3.1, 3.8, 73.8%, 158, 3:1, 81," $76,013,996"," $404,330", 1.6%," 1,452", 87.8%, 47%, 82%, 3.42, 23%, 23%, 3.9, Yes,, 6.5, 469, 388, 16.5%, 15.2%, 28.4%, 81, 35.8%, 7.4%, 28.4%
Rutgers University--New Brunswick," 1,558", 556, 405, 396, 201, 39, 3.0, 3.5, 29.9%, 163, 2.2:1, 105," $54,183,865"," $289,753", 3.9%," 1,558", 32%, 22.6%, 33%, 3.39, 50%, 50%, 3.7, Yes,, 7, 484, 379, 59.9%, 20.6%, 29.3%, 105, 78.1%, 6.7%, 21.9%
University of Massachusetts--Amherst," 1,419", 584, 139, 696, 0, 38, 2.9, 3.5, 40%, 165, 3.6:1, 58," $59,933,049"," $318,793", 2.1%," 1,419", 44.7%, 32.4%, 46%, 3.54, 57%, 57%, 3.9, Yes,, 6.5, 440, 382, 65.7%, 7.3%, 26.7%, 58, 53.4%, 6.9%, 39.7%
University of Utah," 1,383", 615, 15, 711, 42, 38, 3.0, 3.1, 40.7%, 161, 3.4:1, 101," $84,738,000"," $394,130", 1.9%," 1,383", 47.2%, 34.6%, 100%, 3.5, 38%, 38%, 3.8, Yes,, 6.5, 451, 350, 28.6%, 17.4%, 21.1%, 101, 47.5%, 10.9%, 24.8%
Michigan State University, 957, 251, 0, 706, 0, 37, 3.1, 3.4, 21.8%, 163, 3:1, 93," $49,994,331"," $212,742", 0.4%, 957, 20.1%, 23.4%, 88%, 3.5, 43%, 72%, 4, Yes,, 6.5, 172, 79, 35.4%, 11.4%, 24.1%, 93, 72%, 8.6%, 25.8%
Stony Brook University--SUNY," 1,440", 647, 100, 653, 40, 37, 2.9, 3.2, 38.9%, 166, 3.8:1, 107," $47,266,314"," $279,682", 0.6%," 1,440", 38.6%, 39.7%, 20%, 3.2, 48%, 48%, 3.7, Yes,, 6.5, 713, 606, 70.6%, 3.5%, 24.6%, 107, 76.6%, 1.9%, 19.6%
Wichita State University, 783, 487, 173, 40, 83, 37, 2.0, 2.6, 60.2%, 161, 0.6:1, 13," $151,836,096"," $2,300,547", 0%, 783, 61%, 40.7%, 9%, 3.4, 32%, 32%, 2.7, Yes,, 6.5, 174, 161, 75.8%, 7.5%, 26.7%, 13, 92.3%, 0%, 0%
University at Buffalo--SUNY," 2,621"," 1,636", 445, 503, 37, 36, 2.7, 3.3, 49.4%, 162, 2.6:1, 91," $79,954,248"," $418,609", 0.5%," 2,621", 54.6%, 13.3%, 74%, 3.34, 67%, 67%, 3.4, Yes,, 6.5, 954, 863, 71.1%, 2.5%, 26%, 91, 78%, 1.1%, 25.3%
University of Tennessee--Knoxville (Tickle)," 1,149", 256, 165, 626, 102, 36, 2.8, 3.3, 54.3%, 160, 3.3:1, 111," $76,308,000"," $416,984", 1.6%," 1,149", 64.2%, 45.9%, 100%, 3.5, 25%, 25%, 4, Yes,, 6.5, 304, 193, 10.9%, 13%, 20.2%, 111, 49.5%, 9%, 22.5%
Auburn University (Ginn)," 1,159", 161, 375, 473, 150, 35, 2.9, 3.4, 53.5%, 160, 2.7:1, 60," $78,171,465"," $459,832", 0%," 1,159", 64.2%, 43.1%, 85%, 3.41, 32%, 32%, 3.6, Yes,, 6.5, 269, 209, 37.8%, 11%, 24.9%, 60, 71.7%, 3.3%, 25%
Tufts University, 903, 330, 296, 245, 32, 35, 2.8, 3.6, 50.9%, 163, 2.7:1, 33," $36,054,909"," $391,901", 2.2%, 903, 59.4%, 22.8%, 95%, 3.37, 42%, 42%, 3.7, Yes,, 6.5, 323, 290, 37.2%, 20.3%, 34.1%, 33, 48.5%, 15.2%, 36.4%
University of Arizona," 1,480", 276, 628, 453, 123, 35, 3.2, 3.3, 46.9%, 161, 2.8:1, 87," $50,366,000"," $289,460", 1.3%," 1,480", 50.4%, 40.5%, 100%, 3.49, 13%, 13%, 3.8, Yes,, 7, 413, 326, 18.4%, 27.3%, 25.5%, 87, 56.3%, 5.7%, 20.7%
University of North Carolina--Chapel Hill, 308, 106, 3, 199, 0, 35, 2.8, 3.6, 11.9%, N/A, 3.3:1, 30," $14,338,482"," $573,539", 0%, 308, 10%, 15.4%, 88%, 3.59, N/A, N/A, N/A, Yes,, 7, 78, 48, 33.3%, 6.3%, 31.3%, 30, 56.7%, 3.3%, 30%
University of Texas--Dallas (Jonsson)," 2,062"," 1,101", 362, 540, 59, 35, 2.7, 3.2, 28.9%, 162, 3.5:1, 96," $43,088,616"," $283,478", 1.9%," 2,062", 28.3%, 37.1%, 95%, 3.31, 66%, 66%, N/A, Yes,, 6.5, 840, 744, 72.4%, 15.2%, 30.4%, 96, 71.9%, 12.5%, 36.5%
Rochester Institute of Technology (Gleason), 915, 532, 141, 229, 13, 34, 2.6, 3.7, 57.6%, 161, 2.3:1, 32," $50,303,000"," $523,990", 0%, 915, 60.9%, 30.8%, 22%, 3.3, 55%, 55%, 3.6, Yes,, 6.5, 449, 417, 57.3%, 7.4%, 21.1%, 32, 65.6%, 9.4%, 31.3%
University of Connecticut, 900, 98, 243, 512, 47, 34, 2.7, 3.3, 45.1%, 162, 3.2:1, 72," $64,243,000"," $417,162", 1.3%, 900, 46.2%, 43.8%, 97%, 3.5, 17%, 17%, 3.9, Yes,, 6.5, 205, 133, 12.8%, 18.8%, 21.8%, 72, 73.6%, 6.9%, 36.1%
Lehigh University (Rossin), 619, 159, 122, 306, 32, 33, 2.9, 3.6, 45.7%, 163, 2.6:1, 44," $24,676,227"," $212,726", 0.9%, 619, 56.2%, 30%, 64%, 3.39, 18%, 18%, 3.7, Yes,, 6.5, 242, 198, 40.9%, 16.2%, 30.3%, 44, 79.5%, 4.5%, 34.1%
University of Houston (Cullen)," 1,493", 588, 265, 549, 91, 33, 2.6, 3.3, 52.7%, 160, 3.2:1, 103," $40,991,158"," $246,935", 4.1%," 1,493", 55.6%, 42.3%, 78%, 3, 62%, 62%, 3.2, Yes,, 6.5, 396, 293, 62.5%, 10.9%, 26.6%, 103, 80.6%, 1.9%, 28.2%
Clemson University," 1,347", 545, 139, 608, 55, 32, 2.9, 3.5, 74.5%, 160, 2.5:1, 84," $48,260,243"," $200,250", 0.4%," 1,347", 83%, 51.3%, 29%, 3.39, 39%, 39%, 3.5, Yes, N/A, N/A, 586, 502, 60.2%, 3.6%, 21.9%, 84, 64.3%, 4.8%, 29.8%
Oregon State University," 1,184", 483, 207, 451, 43, 32, 2.7, 3.4, 25%, 162, 2.3:1, 85," $49,934,337"," $243,582", 1%," 1,184", 25.7%, 23.4%, 99%, 3.34, 17%, 17%, 3.7, Yes,, 6.5, 449, 364, 56.6%, 10.7%, 25%, 85, 61.2%, 11.8%, 28.2%
University of Central Florida," 1,970", 405, 864, 625, 76, 32, 2.6, 3.4, 62.6%, 159, 3.7:1, 134," $45,357,210"," $259,184", 1.2%," 1,970", 71%, 45.3%, 100%, 3.45, 13%, 13%, 4, Yes,, 6.5, 557, 423, 28.8%, 30.3%, 29.1%, 134, 55.2%, 15.7%, 23.9%
University of Iowa, 386, 105, 29, 215, 37, 32, 2.8, 3.2, 56.5%, 162, 2:1, 44," $49,941,163"," $416,176", 1.9%, 386, 72.7%, 43.3%, 90%, 3.5, 24%, 24%, 3.9, Yes,, N/A, 138, 94, 35.1%, 7.4%, 23.4%, 44, 54.5%, 4.5%, 27.3%
